"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1545","Fix overly-strict interpretation of the Google style guide regarding …","…single-line Javadoc.  Section 7.1.1 of the Google Style Guide states ""The single-line form may be substituted when there are no at-clauses present"". It doesn't define at-clauses directly, but section 7.1.3 strongly suggests that it's referring to out-of-line tags like `@param` and `@return`, not inline tags like `@link` and `@code`. This matches my experience inside Google, and a random web search shows that at least one other Google person considers this a bug: https://github.com/grpc/grpc-java/issues/111.","closed","incomplete,","ekuefler","2015-08-03T07:12:41Z","2015-09-24T15:31:00Z"
"","1722","solution to ""FinalLocalVariable doesn't report variable when first as…","…signment is separated"" #1551","closed","incomplete,","Bhavik3","2015-08-16T17:52:50Z","2015-10-13T16:57:28Z"
"","1211","Solution to wrong variable reported because of name shadowing in Fina…","…lLocalVariableCheck. solves #1142","closed","","Bhavik3","2015-06-15T09:57:16Z","2017-03-04T00:19:35Z"
"","1255","Solution to NullPointerException at findClassOrMethodInWhichItIsDefin…","…ed method.","closed","","Bhavik3","2015-06-28T15:50:17Z","2015-06-28T17:05:23Z"
"","1280","Change default value of property ""format"" to ""^Abstract.*$"" in Abstra…","…ctClassNameCheck #1279","closed","","Bhavik3","2015-07-04T06:16:34Z","2015-07-06T03:37:56Z"
"","1994","Issue #1555: Decrease visibility of public constructor in non-public …","…class  Fixes `PublicConstructorInNonPublicClass` inspection violations.  Description:  > Reports all constructors in non-public classes that are declared public.","closed","","mkordas","2015-08-29T08:29:51Z","2015-08-29T13:13:56Z"
"","1228","skipEnhancedForLoopVariable property is added in ModifiedControlVaria…","…bleCheck. solves #1015","closed","","Bhavik3","2015-06-19T08:51:02Z","2015-06-27T15:42:30Z"
"","1423","Fix RightCurlyCheck with same option not to rise expression in single…","…-line blocks - issue #1416  Add additional guard to not raise error when block is in single line, removed test which test old behaviour of one line block(raising error)","closed","","liscju","2015-07-20T13:06:13Z","2015-08-17T10:45:17Z"
"","1191","Solution to ""Incorrect config file cause CLI finish with error but no…","… output with details"" solves #1180","closed","","Bhavik3","2015-06-08T06:51:56Z","2015-06-19T16:25:06Z"
"","1485","Make IndentationCheck accept right parantheses of annotation alone in…","… line indent same as annotation begin, fixes #1349","closed","","liscju","2015-07-26T21:19:09Z","2018-11-15T22:52:48Z"
