"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationContext.java","3","17","A high number of imports can indicate a high degree of coupling within an object.","Design","ExcessiveImports"
"2","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationContext.java","3","67","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationContext.java","3","136","Potential violation of Law of Demeter (static property access)","Design","LawOfDemeter"
"4","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationContext.java","3","184","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"5","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationContext.java","3","184","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","18","A high number of imports can indicate a high degree of coupling within an object.","Design","ExcessiveImports"
"2","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","104","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","105","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"4","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","111","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"5","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","141","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"6","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","196","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"7","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","212","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"8","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","213","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"9","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","233","Private field 'masterSecret' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"10","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","234","Private field 'category' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"11","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","242","The method 'onPreferenceClick(Preference)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"12","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","277","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"13","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","278","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"14","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","279","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"15","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","280","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"16","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","281","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"17","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\ApplicationPreferencesActivity.java","3","294","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BaseActionBarActivity.java","3","60","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BaseActionBarActivity.java","3","62","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BaseActionBarActivity.java","3","74","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"4","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BaseActionBarActivity.java","3","75","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"5","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BaseActionBarActivity.java","3","85","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"6","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BaseActionBarActivity.java","3","93","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BasicIntroFragment.java","3","37","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BasicIntroFragment.java","3","38","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BasicIntroFragment.java","3","39","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"4","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BasicIntroFragment.java","3","48","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"5","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BasicIntroFragment.java","3","49","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"6","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BasicIntroFragment.java","3","50","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"1","org.thoughtcrime.securesms","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2018-1\Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2\src\org\thoughtcrime\securesms\BlockedContactsActivity.java","3","44","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
