"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","57","Possible God Class (WMC=57, ATFD=153, TCC=27.986%)","Design","GodClass"
"2","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","57","The class 'RedPhone' has a Standard Cyclomatic Complexity of 2 (Highest = 16).","Design","StdCyclomaticComplexity"
"3","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","57","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"4","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","73","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"5","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","90","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"6","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","109","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"7","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","114","Overriding method merely calls super","Design","UselessOverridingMethod"
"8","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","122","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"9","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","124","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"10","org.thoughtcrime.redphone","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\10 Signal Android\Signal-Android-2017-1\Signal-Android-57cdbaedd646529ede41749fce0f16e1fe0b5ea3\src\org\thoughtcrime\redphone\RedPhone.java","3","144","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
