"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","28471","hello   您对spring bean的生命周期怎么看","面试经常被问spring bean的生命周期 我很苦恼，能不能简单说下","closed","for: stackoverflow,","sakura-maple","2022-05-17T11:35:22Z","2022-05-17T11:43:55Z"
"","28186","CustomEditorConfigurer中维护的Map并没有对应关系","在使用XMl文件的方式注入属性编辑器的过程中，使用，我发现map的键和值并不是一一对应的关系，于是找到CustomEditorConfigurer类发现CustomEditorConfigurer中维护的Map并没有对应关系，这个问题意味着，我只需要注入值（属性编辑器）就可以使用","closed","for: stackoverflow,","ImUglyZ","2022-03-16T06:17:15Z","2022-03-16T08:18:49Z"
"","28402","5.2x","创建5.2x","closed","status: waiting-for-triage,","csiichao","2022-04-30T13:55:12Z","2022-04-30T13:55:32Z"
"","28355","Treat MariaDB as an independent database type","…b.com/spring-projects/spring-framework/issues/28305  In this commit we added MariaDB as an independent database type as per #28305   Thanks for taking time to look at it!","open","status: waiting-for-triage,","ben-enfuse-io","2022-04-18T17:34:00Z","2022-07-29T15:54:48Z"
"","28136","Update README.md","фыв","closed","status: invalid,","Solyaris","2022-03-04T20:05:05Z","2022-03-04T21:08:44Z"
"","28398","Avoid collectList when sending a Flux of objects as JSON using WebClient","Would it be possible to send a flux of objects in the request body using WebClient with ""Content-Type: application/json"" but avoid having to collect the whole flux as a list in memory?  Let's say I have a Flux containing millions of elements and my target server only accepts non-streaming content-types, the Jackson2JsonEncoder would then call ""collectList()"" on the flux, possibly running out of memory.  Couldn't the Jackson2JsonEncoder somehow write the objects as they come available?","closed","type: enhancement,","micopiira","2022-04-29T20:51:36Z","2022-05-23T10:32:13Z"
"","28009","Review @Nullable annotations on DefaultJmsListenerContainerFactory","Working on a Kotlin sample where we call `DefaultJmsListenerContainerFactory.setTransactionManager(null)` and I see an error. I think it might be because the parameter on the method isn't marked as `@Nullable` even though the field is.","closed","status: declined,","philwebb","2022-02-04T19:12:41Z","2022-02-08T06:30:23Z"
"","28887","Introduce RuntimeHintsUtils#registerComposableAnnotation","Working on #28767 and the use case in Spring Boot revealed that we could use an explicit method to register a composable annotation when we know it is going to be the used with attribute override (`@AliasFor`). This requires not only the regular annotation hint but also a proxy.  The only way to trigger this is to register a composed annotation (i.e. an annotation using that annotation) but if the underlying code is only using the annotation and not of the composed one, that would register an unnecessary hint.","closed","theme: aot,","snicoll","2022-07-29T13:22:18Z","2022-07-29T13:39:43Z"
"","28890","Fix typo in BasicJsonWriter.java","withing -> within","closed","type: documentation,","eltociear","2022-07-30T03:41:53Z","2022-08-01T07:19:15Z"
"","28417","Add Throwable functional interfaces","Within the framework and portfolio projects we often need to deal with checked exceptions inside the body of a `Function`, `Supplier`, `Consumer`, etc. This usually involves writing `try`/`catch` blocks inside the body. Since exception handling is usually also handled by the framework, it would be nice if we could offer `Throwing...` versions of common functional interfaces that do the wrapping for us.","closed","type: enhancement,","philwebb","2022-05-05T06:21:25Z","2022-05-06T14:01:50Z"
